專案名稱,抽驗日期,分類,檢體名稱,抽驗行政郵遞區號,抽驗地點,檢驗結果,不符合規定原因
蔬果,20240807,小葉菜類,油菜,108,宜新蔬果行/臺北市萬華區富民路155巷49之3號1樓,不符合規定,"殺蟲劑Abamectin 阿巴汀0.06ppm(標準：0.05ppm以下) 
殺蟲劑Chlorfenapyr 克凡派1.4ppm(標準：1.0ppm以下) 
殺蟲劑Cyantraniliprole 賽安勃0.05ppm(標準：不得檢出) 
殺蟲劑Fipronil 芬普尼0.210ppm、Fipronil-sulfone芬普尼代謝物0.048ppm(標準：0.001ppm以下) 
殺蟲劑Pyriproxyfen 百利普芬1.54ppm(標準：0.01ppm以下) 
殺蟲劑Tolfenpyrad 脫芬瑞0.7ppm(標準：0.5ppm以下) "
蔬果,20240801,根莖菜類,白蘿蔔,103,霸王川菜餐廳股份有限公司/臺北市大同區長安西路287號1-2樓,不符合規定,"殺蟲劑Clothianidin 可尼丁0.08ppm(標準：0.02ppm以下) 
殺蟲劑Dichlorvos二氯松0.04ppm(標準：不得檢出)
殺蟲劑Trichlorfon 三氯松0.19ppm(標準：0.01ppm以下) "
蔬果,20240805,小葉菜類,芥蘭菜,115,為福樓餐廳有限公司/臺北市南港區忠孝東路5段996號1樓,不符合規定,"殺蟲劑Chlorfenapyr 克凡派2.4ppm(標準：1.0ppm以下) 
殺蟲劑Indoxacarb 因得克2.4ppm(標準：2.0ppm以下) 
殺菌劑Pyraclostrobin 百克敏2.7ppm(標準：2.0ppm以下) "
蔬果,20240802,果菜類,辣椒條,106,復興小吃店(全國食養創作全自助餐復興店)/臺北市大安區復興南路2段314號,不符合規定,"殺菌劑Difenoconazole 待克利1.2ppm(標準：0.5ppm以下) 
殺菌劑Zoxamide 座賽胺0.13ppm(標準：不得檢出)"
蔬果,20240802,小葉菜類,芹菜,106, 優市大安店/臺北市大安區敦化南路2段11巷38弄15號,不符合規定,"殺菌劑Dimethomorph 達滅芬2.9ppm(標準：2.5ppm以下) 
殺蟲劑Indoxacarb 因得克0.03ppm(標準：0.01ppm以下) "
蔬果,20240801,大漿果類,百香果,103,無名水果攤/臺北市大同區長安西路218之1號旁,不符合規定,殺蟲劑Cyromazine 賽滅淨0.14ppm(標準：不得檢出) 
蔬果,20240801,根莖菜類,日本北海道大根(白蘿蔔),104,統康生活事業股份有限公司美麗華分公司(Mia C'bon MARKET)/臺北市中山區敬業三路20號地下1樓之1,不符合規定,殺線蟲劑Fosthiazate 福賽絕0.02ppm(標準：不得檢出) 
蔬果,20240802,豆菜類,菜豆,106,秋香蔬菜商行/臺北市大安區臨江街29-1號,不符合規定,殺草劑Ametryn 草殺淨0.02ppm(標準：不得檢出) 
蔬果,20240807,大漿果類,網室栽培特選台農二號紅肉木瓜,108,日鮮蔬果專賣店/臺北市萬華區貴陽街2段137號,不符合規定,殺蟎劑Fenbutatin-oxide 芬佈賜0.02ppm(標準：不得檢出) 
蔬果,20240801,小葉菜類,芹菜,104,臺北市第二果菜批發市場蔬菜零批場21-08號攤/臺北市中山區民族東路336號,不符合規定,殺草劑Thiobencarb 殺丹0.08ppm(標準：0.01ppm以下) 
蔬果,20240805,果菜類,大紅辣(辣椒),115,為福樓餐廳有限公司/臺北市南港區忠孝東路5段996號1樓,不符合規定,殺蟲劑Flonicamid 氟尼胺0.02ppm(標準：0.01ppm以下) 
蔬果,20240802,根莖菜類,白蘿蔔,106, 優市大安店/臺北市大安區敦化南路2段11巷38弄15號,不符合規定,殺蟲劑Thiamethoxam 賽速安0.46ppm(標準：0.25ppm以下) 
蔬果,20240801,根莖菜類,白蘿蔔,112,順豐蔬果行/臺北市北投區清江路22號,不符合規定,殺蟲劑Thiamethoxam 賽速安0.38ppm(標準：0.25ppm以下) 
可供食品使用中藥材,20240820,菊花,生機菊花（有效日期：20260620）,105,心元蔘藥行/臺北市松山區南京東路5段291巷20弄6號,不符合規定,"1.殺蟲劑Cypermethrin賽滅寧0.14ppm（標準：0.03ppm以下）、殺草劑Pendimethalin施得圃0.07ppm（ 標準： 0.05ppm 以下）、殺菌劑Pydiflumetofen派滅芬0.10ppm（標準：不得檢出）
2.產品外包裝標示「檢驗合格」字樣及附有農藥殘留檢驗合格之檢驗報告，標示不實且易生誤解"
可供食品使用中藥材,20240820,菊花,台灣菊花（有效日期：1160722）,103,利隆貿易有限公司(利隆行)/臺北市大同區迪化街1段46巷18弄6號,不符合規定,"1.殺蟲劑Chlorfenapyr	克凡派11.0ppm(標準：2.0ppm以下)、Methomyl	納乃得1.5ppm(標準：1.0ppm以下)	
2.產品內附有未檢出農藥殘留之檢驗報告與外包裝標示「安心使用」字樣，標示不實且易生誤解"
可供食品使用中藥材,20240820,白木耳,乾白木耳（干白木耳）（有效日期：20261115）,103,迪隆蔘藥行/臺北市大同區歸綏街220號1樓,不符合規定,"生長調節劑Chlormequat	克美素0.08ppm(標準：不得檢出)	"
可供食品使用中藥材,20240820,菊花,台灣菊花（有效日期：20261123）,112,慶峰參藥行/臺北市北投區懷德街6-6號,不符合規定,"1.殺蟲劑Acetamiprid亞滅培3.9ppm（標準：2.0ppm以下）
2.產品外包裝標示「天然生機」字樣及產品內附有未檢出農藥殘留之檢驗報告，標示不實且易生誤解"
蔬果,20240903,香辛植物及其他草木本植物,香菜(芫荽),108,全興蔬菜行/臺北市萬華區環河南路2段245號環南市場33號攤,不符合規定,"殺菌劑Dimethomorph 達滅芬0.03ppm(標準：0.01ppm以下) 
殺菌劑Diniconazole 達克利0.05ppm(標準：不得檢出)
殺菌劑Fluopicolide 氟比來0.05ppm(標準：0.01ppm以下) 
殺菌劑Flusilazole 護矽得0.05ppm(標準：不得檢出) 
殺菌劑Prochloraz 撲克拉0.27ppm(標準：0.01ppm以下) 
殺草劑Prometryn 佈滅淨0.04ppm(標準：不得檢出) 
殺菌劑Propiconazole 普克利4.54ppm(標準：0.01ppm以下) 
殺菌劑Pydiflumetofen 派滅芬0.12ppm(標準：不得檢出) 
殺蟲劑Thiamethoxam 賽速安0.36ppm(標準：0.01ppm以下) "
蔬果,20240904,香辛植物及其他草木本植物,芫荽(香菜),106,遠東都會股份有限公司復興店（city super復興店）/臺北市大安區忠孝東路3段300號B3樓,不符合規定,"殺菌劑Dimethomorph 達滅芬0.07ppm(標準：0.01ppm以下) 
殺菌劑Diniconazole 達克利0.02ppm(標準：不得檢出) 
殺菌劑Fluopicolide 氟比來0.02ppm(標準：0.01ppm以下) 
殺菌劑Flusilazole 護矽得0.09ppm(標準：不得檢出)
殺菌劑Prochloraz 撲克拉0.10ppm(標準：0.01ppm以下) 
殺菌劑Procymidone 撲滅寧0.02ppm(標準：0.01ppm以下) 
殺菌劑Propiconazole 普克利1.98ppm(標準：0.01ppm以下) 
殺菌劑Pydiflumetofen 派滅芬0.03ppm(標準：不得檢出) 
殺蟲劑Thiamethoxam 賽速安0.11ppm(標準：0.01ppm以下) "
